"filename", "language", "TypeScript", "JSON", "JSON with Comments", "CSS", "JavaScript", "TypeScript JSX", "Markdown", "YAML", "HTML", "XML", "comment", "blank", "total"
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\components\script\download.redirect.ts", "TypeScript", 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 32, 204
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\components\script\home.anim.ts", "TypeScript", 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 24, 219
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\components\script\latest.banner.ts", "TypeScript", 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 52, 348
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\index.css", "CSS", 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 8, 20, 192
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\root.css", "CSS", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 8, 76
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\styles\documentation.css", "CSS", 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 129
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\styles\download.css", "CSS", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 5, 2, 127
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\styles\extension.css", "CSS", 0, 0, 0, 258, 0, 0, 0, 0, 0, 0, 0, 41, 299
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\styles\features.css", "CSS", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 59
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\styles\home.css", "CSS", 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 4, 2, 166
